,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date
11747,50115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.995,,4/1/16,3/31/17
11753,50115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0.945,,4/1/16,3/31/17
11759,50115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11765,50115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.101,,4/1/16,3/31/17
11771,50115,PALOMAR HEALTH DOWNTOWN CAMPUS,555 E VALLEY PARKWAY,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.039,,4/1/16,3/31/17
11777,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,1.385,,4/1/16,3/31/17
11783,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Worse than the National Benchmark,2.672,,4/1/16,3/31/17
11789,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.56,,4/1/16,3/31/17
11795,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11801,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.321,,4/1/16,3/31/17
11807,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.214,,4/1/16,3/31/17
11813,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
11819,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,2.629,,4/1/16,3/31/17
11825,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11831,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11837,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11843,50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,2098233111,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.864,,4/1/16,3/31/17
11849,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Worse than the National Benchmark,2.309,,4/1/16,3/31/17
11855,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Worse than the National Benchmark,1.803,,4/1/16,3/31/17
11861,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.536,,4/1/16,3/31/17
11867,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11873,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.947,,4/1/16,3/31/17
11879,50121,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,CA,93230,KINGS,2094107200,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.302,,4/1/16,3/31/17
11885,50122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.608,,4/1/16,3/31/17
11891,50122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
11897,50122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11903,50122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11909,50122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11915,50122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.074,,4/1/16,3/31/17
11921,50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,1.679,,4/1/16,3/31/17
11927,50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.877,,4/1/16,3/31/17
11933,50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11939,50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11945,50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.976,,4/1/16,3/31/17
11951,50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.013,,4/1/16,3/31/17
11957,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.998,,4/1/16,3/31/17
11963,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Worse than the National Benchmark,2.059,,4/1/16,3/31/17
11969,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.955,,4/1/16,3/31/17
11975,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
11981,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.374,,4/1/16,3/31/17
11987,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,SAN JOSE,CA,95116,SANTA CLARA,4082595000,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Better than the National Benchmark,0.42,,4/1/16,3/31/17
11993,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.695,,4/1/16,3/31/17
11999,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,1.001,,4/1/16,3/31/17
12005,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.471,,4/1/16,3/31/17
12011,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12017,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.28,,4/1/16,3/31/17
12023,50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,8187826600,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.901,,4/1/16,3/31/17
12029,50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.591,,4/1/16,3/31/17
12035,50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,2.223,,4/1/16,3/31/17
12041,50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
12047,50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12053,50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12059,50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.377,,4/1/16,3/31/17
12065,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.696,,4/1/16,3/31/17
12071,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.663,,4/1/16,3/31/17
12077,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,1.916,,4/1/16,3/31/17
12083,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12089,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.257,,4/1/16,3/31/17
12095,50128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.935,,4/1/16,3/31/17
12101,50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.523,,4/1/16,3/31/17
12107,50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Better than the National Benchmark,0.372,,4/1/16,3/31/17
12113,50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
12119,50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12125,50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.725,,4/1/16,3/31/17
12131,50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098838711,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.774,,4/1/16,3/31/17
12137,50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12143,50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12149,50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12155,50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12161,50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12167,50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,CA,94945,MARIN,4152091300,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,0.425,,4/1/16,3/31/17
12173,50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0,,4/1/16,3/31/17
12179,50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,0.526,,4/1/16,3/31/17
12185,50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12191,50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12197,50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.284,,4/1/16,3/31/17
12203,50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.421,,4/1/16,3/31/17
12209,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,1.432,,4/1/16,3/31/17
12215,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,1.082,,4/1/16,3/31/17
12221,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,No Different than National Benchmark,0.517,,4/1/16,3/31/17
12227,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12233,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.218,,4/1/16,3/31/17
12239,50133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.135,,4/1/16,3/31/17
12245,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,1.87,,4/1/16,3/31/17
12251,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,1.511,,4/1/16,3/31/17
12257,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12263,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12269,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,1.244,,4/1/16,3/31/17
12275,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,3234622271,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.248,,4/1/16,3/31/17
12281,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12287,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12293,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12299,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12305,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12311,50136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,7077781111,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,Worse than the National Benchmark,2.227,,4/1/16,3/31/17
12317,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.996,,4/1/16,3/31/17
12323,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards,HAI_2_SIR,No Different than National Benchmark,1.935,,4/1/16,3/31/17
12329,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Surgical site infections (SSI) from colon surgery,HAI_3_SIR,Better than the National Benchmark,0,,4/1/16,3/31/17
12335,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Surgical site infections (SSI) from abdominal hysterectomy,HAI_4_SIR,Not Available,Not Available,13 - Results cannot be calculated for this reporting period.,4/1/16,3/31/17
12341,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Methicillin-resistant Staphylococcus Aureus (MRSA) blood infections,HAI_5_SIR,No Different than National Benchmark,0.754,,4/1/16,3/31/17
12347,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,8183753333,Clostridium difficile (C.diff.) intestinal infections,HAI_6_SIR,No Different than National Benchmark,1.211,,4/1/16,3/31/17
